ring_number,tag_id,datetime,location_name,latitude,longitude,observation_type,device_status,observer,catching_method,life_stage,sex,condition,mass,wing_length,additional_metric,observation_comments
272130380,CB594,2021-06-21T10:39:00Z,Edisto Nature Trail,32.7678349,-80.4471493,equipment,present,Jen Tyrrell,M,2,M,alive,14.4,71,,
272130380,CB594,2022-05-21T09:00:00Z,Edisto Nature Trail,32.7678349,-80.4471493,retrieval,present,Jen Tyrrell,M,2,M,alive,16.3,70,,
272130371,CB596,2021-05-25T10:15:00Z,MAPS Station,33.219626,-80.35476,equipment,present,Jen Tyrrell,M,2,M,alive,13.1,70,,
272130371,CB596,2022-04-20T08:00:00Z,MAPS Station,33.219626,-80.35476,retrieval,present,Jen Tyrrell,M,2,M,alive,15.4,70,,
256052956,CB598,2021-05-15T17:42:00Z,Cherokee National Forest,35.28581,-84.1793,equipment,present,Dawson Rader,M,2,M,alive,16.8,71,,
256052956,CB598,2022-06-09T18:54:00Z,Cherokee National Forest,35.28581,-84.1793,retrieval,present,Dawson Rader,M,2,M,alive,16.3,70,,
256052964,CB599,2021-05-22T13:53:00Z,Cherokee National Forest,35.43926,-84.0492,equipment,present,Dawson Rader,M,2,M,alive,14.6,70,,
256052964,CB599,2022-05-16T12:22:00Z,Cherokee National Forest,35.43926,-84.0492,retrieval,present,Dawson Rader,M,2,M,alive,14.3,70,,
256052963,CB601,2021-05-22T13:39:00Z,Cherokee National Forest,35.43926,-84.0492,equipment,present,Dawson Rader,M,2,M,alive,14.9,71,,
256052963,CB601,2022-06-04T16:41:00Z,Cherokee National Forest,35.43926,-84.0492,retrieval,present,Dawson Rader,M,2,M,alive,15.4,71,,
289020410,CB608,2021-05-11T10:50:00Z,Mark Twain National Forest,36.66378,-91.19612,equipment,present,Than Boves,M,2,M,alive,15,72,,
289020410,CB608,2022-05-03T09:00:00Z,Mark Twain National Forest,36.66378,-91.19612,retrieval,present,Than Boves,M,2,M,alive,,,,
289020409,CB611,2021-05-11T09:00:00Z,Mark Twain National Forest,36.65001,-91.19733,equipment,present,Than Boves,M,2,M,alive,16.3,70.5,,
289020409,CB611,2022-05-03T08:00:00Z,Mark Twain National Forest,36.65001,-91.19733,retrieval,present,Than Boves,M,2,M,alive,,,,
289048504,CB616,2021-06-15T07:12:00Z,Breaks Interstate Park,37.293533,-82.302084,equipment,present,Ashley Peele,M,2,M,alive,13.4,71,,
289048504,CB616,2022-06-14T08:00:00Z,Breaks Interstate Park,37.293533,-82.302084,retrieval,present,Hannah Wait,M,2,M,alive,14.8,71,,
289048506,CB619,2021-06-16T06:18:00Z,Breaks Interstate Park,37.288408,-82.305667,equipment,present,Ashley Peele,M,2,M,alive,18.1,72,,
289048506,CB619,2022-06-10T08:00:00Z,Breaks Interstate Park,37.288408,-82.305667,retrieval,present,Hannah Wait,M,2,M,alive,15.4,70,,
289048507,CB620,2021-06-16T06:55:00Z,Breaks Interstate Park,37.29343,-82.304395,equipment,present,Ashley Peele,M,2,M,alive,14,69,,
289048507,CB620,2022-06-10T09:00:00Z,Breaks Interstate Park,37.29343,-82.304395,retrieval,present,Hannah Wait,M,2,M,alive,15.4,68,,
252150608,CB621,2021-05-16T08:30:00Z,Sandy Creek Park,30.655,-90.95927,equipment,present,Garrett Rhyne,M,2,M,alive,14.5,69,,
252150608,CB621,2022-05-01T08:00:00Z,Sandy Creek Park,30.655,-90.95927,retrieval,present,Garrett Rhyne,M,2,M,alive,14.6,69,,
252150629,CB623,2021-06-11T09:37:00Z,Frenchtown Conservation Area,30.47374,-90.99295,equipment,present,Garrett Rhyne,M,2,M,alive,14.6,70,,
252150629,CB623,2022-04-15T09:00:00Z,Frenchtown Conservation Area,30.47374,-90.99295,retrieval,present,Garrett Rhyne,M,2,M,alive,13.7,69,,
252150626,CB624,2021-06-01T10:15:00Z,Wilbert Tract,30.41899,-91.36418,equipment,present,Garrett Rhyne,M,2,M,alive,15.8,69,,
252150626,CB624,2022-04-26T09:00:00Z,Wilbert Tract,30.41899,-91.36418,retrieval,present,Garrett Rhyne,M,2,M,alive,14.9,67.5,,
252150612,CB627,2021-05-25T08:30:00Z,Wilbert Tract,30.42671,-91.39564,equipment,present,Garrett Rhyne,M,2,M,alive,14.8,69,,
252150612,CB627,2022-05-03T08:00:00Z,Wilbert Tract,30.42671,-91.39564,retrieval,present,Garrett Rhyne,M,2,M,alive,15,69,,
